Nursing summary from all date ranges
Average feedings per day: 10.1
Average minutes per feeding per day: 16.2
Average total minutes per day: 159.6

Oct 16 2017,,Feedings 3,Average 13.4 minutes,Total 40.1 minutes
7:09 am,7:18 am,8 minutes,Nursed from right breast,,
7:20 am,7:25 am,4 minutes,Nursed from right breast,,
8:27 am,8:39 am,11 minutes,Nursed from left breast,,
11:30 am,11:39 am,7 minutes,Nursed from left breast,,
11:40 am,11:50 am,9 minutes,Nursed from right breast,,
12:22 pm,12:31 pm,9 minutes,Nursed from right breast,,
12:32 pm,12:40 pm,8 minutes,Nursed from left breast,,
1:26 pm,1:29 pm,2 minutes,Nursed from left breast,,
1:29 pm,1:34 pm,1 minute,Nursed from right breast,,
1:45 pm,1:49 pm,3 minutes,Nursed from right breast,,
3:05 pm,3:16 pm,11 minutes,Nursed from left breast,,
3:19 pm,3:23 pm,2 minutes,Nursed from right breast,,
3:24 pm,3:27 pm,2 minutes,Nursed from right breast,,
3:55 pm,4:00 pm,4 minutes,Nursed from right breast,,
4:48 pm,4:55 pm,7 minutes,Nursed from left breast,,
4:56 pm,5:09 pm,12 minutes,Nursed from right breast,,
5:13 pm,5:16 pm,3 minutes,Nursed from right breast,,
6:25 pm,6:39 pm,14 minutes,Nursed from left breast,,
7:03 pm,7:15 pm,11 minutes,Nursed from left breast,,
7:16 pm,7:25 pm,8 minutes,Nursed from right breast,,
7:28 pm,7:34 pm,5 minutes,Nursed from right breast,,
8:12 pm,8:17 pm,4 minutes,Nursed from left breast,,
10:56 pm,11:00 pm,3 minutes,Nursed from left breast,,

Oct 05 2017,,Feedings 10,Average 15.9 minutes,Total 159.0 minutes
Start,End,Duration,Entry,Notes,Location
2:48 am,2:58 am,10 minutes,Nursed from right breast,,
3:12 am,3:17 am,5 minutes,Nursed from left breast,,
7:38 am,7:46 am,8 minutes,Nursed from left breast,,
8:09 am,8:18 am,8 minutes,Nursed from right breast,,
8:58 am,9:02 am,2 minutes,Nursed from right breast,,
11:00 am,11:10 am,9 minutes,Nursed from left breast,,
11:14 am,11:24 am,10 minutes,Nursed from right breast,,
11:33 am,11:45 am,11 minutes,Nursed from left breast,,
12:16 pm,12:21 pm,5 minutes,Nursed from right breast,,
2:48 pm,3:05 pm,16 minutes,Nursed from right breast,,
3:06 pm,3:16 pm,9 minutes,Nursed from left breast,,
4:04 pm,4:09 pm,5 minutes,Nursed from left breast,,
4:46 pm,4:54 pm,6 minutes,Nursed from right breast,,
4:54 pm,5:02 pm,7 minutes,Nursed from right breast,,
5:10 pm,5:19 pm,9 minutes,Nursed from left breast,,
5:55 pm,6:12 pm,14 minutes,Nursed from left breast,,
6:59 pm,7:05 pm,5 minutes,Nursed from right breast,,
7:12 pm,7:18 pm,5 minutes,Nursed from right breast,,
7:19 pm,7:25 pm,5 minutes,Nursed from left breast,,
7:45 pm,7:47 pm,2 minutes,Nursed from left breast,,

Oct 04 2017,,Feedings 11,Average 16.0 minutes,Total 175.8 minutes
Start,End,Duration,Entry,Notes,Location
12:12 am,12:24 am,11 minutes,Nursed from right breast,,
12:32 am,12:38 am,4 minutes,Nursed from right breast,,
12:39 am,12:43 am,3 minutes,Nursed from left breast,,
4:22 am,4:30 am,8 minutes,Nursed from left breast,,
4:37 am,4:41 am,4 minutes,Nursed from left breast,,
4:42 am,4:47 am,4 minutes,Nursed from right breast,,
7:28 am,7:36 am,8 minutes,Nursed from right breast,,
7:40 am,7:41 am,1 minute,Nursed from right breast,,
7:44 am,7:46 am,1 minute,Nursed from right breast,,
8:10 am,8:12 am,2 minutes,Nursed from left breast,,
8:19 am,8:27 am,8 minutes,Nursed from left breast,,
9:43 am,9:54 am,11 minutes,Nursed from right breast,,
9:57 am,9:59 am,2 minutes,Nursed from right breast,,
11:24 am,11:37 am,13 minutes,Nursed from left breast,,
12:09 pm,12:11 pm,2 minutes,Nursed from right breast,,
1:10 pm,1:18 pm,8 minutes,Nursed from right breast,,
1:27 pm,1:34 pm,4 minutes,Nursed from left breast,,
2:03 pm,2:04 pm,1 minute,Nursed from left breast,,
2:55 pm,3:02 pm,7 minutes,Nursed from left breast,,
3:34 pm,3:55 pm,13 minutes,Nursed from right breast,,
3:55 pm,4:03 pm,8 minutes,Nursed from left breast,,
5:54 pm,6:10 pm,15 minutes,Nursed from left breast,,
6:32 pm,6:39 pm,7 minutes,Nursed from right breast,,
7:17 pm,7:36 pm,13 minutes,Nursed from right breast,,
7:37 pm,7:50 pm,8 minutes,Nursed from left breast,,

Oct 03 2017,,Feedings 9,Average 18.4 minutes,Total 165.9 minutes
Start,End,Duration,Entry,Notes,Location
2:31 am,2:40 am,9 minutes,Nursed from right breast,,
2:45 am,2:54 am,8 minutes,Nursed from right breast,,
5:23 am,5:35 am,12 minutes,Nursed from left breast,,
5:41 am,5:48 am,7 minutes,Nursed from right breast,,
